income,loan_amount,loan_term,loan_purpose,loan_type,lien_status,preapproval,debt_to_income_ratio,combined_loan_to_value_ratio,property_value,occupancy_type,construction_method,total_units,submission_of_application,interest_only_payment,balloon_payment,applicant_age,derived_race,derived_ethnicity,derived_sex,LoanApproved
28.0,35000.0,,2,1,1,2,,73.077,55000.0,1,1,1,1,2,2,55-64,White,Hispanic or Latino,Male,0
153.0,245000.0,360.0,1,1,1,2,46,90.0,265000.0,1,1,1,1,2,2,35-44,White,Not Hispanic or Latino,Male,1
176.0,335000.0,360.0,1,1,1,2,30%-<36%,80.0,415000.0,1,1,1,1,2,2,45-54,White,Not Hispanic or Latino,Joint,1
254.0,395000.0,360.0,1,1,1,1,36,80.0,495000.0,1,1,1,1,2,2,25-34,White,Not Hispanic or Latino,Joint,1
142.0,265000.0,180.0,32,1,1,2,43,55.0,485000.0,1,1,1,1,2,2,55-64,White,Not Hispanic or Latino,Male,1
51.0,265000.0,360.0,1,3,1,2,50%-60%,100.0,265000.0,1,1,1,1,2,2,25-34,White,Hispanic or Latino,Male,1
127.0,565000.0,360.0,31,1,1,2,47,52.0,1105000.0,1,1,1,2,2,2,25-34,White,Not Hispanic or Latino,Joint,1
110.0,325000.0,360.0,32,1,1,2,43,68.09,475000.0,1,1,1,1,2,2,45-54,White,Not Hispanic or Latino,Male,1
229.0,595000.0,360.0,1,1,1,2,39,74.921,785000.0,1,1,1,1,2,2,35-44,White,Not Hispanic or Latino,Male,1
92.0,355000.0,360.0,1,1,1,2,30%-<36%,95.0,375000.0,1,1,1,1,2,2,35-44,White,Hispanic or Latino,Female,1
126.0,245000.0,300.0,1,1,1,2,30%-<36%,,235000.0,1,2,1,1,2,2,35-44,White,Not Hispanic or Latino,Joint,0
309.0,585000.0,360.0,1,3,1,2,42,80.0,725000.0,1,1,1,1,2,2,55-64,Black or African American,Not Hispanic or Latino,Joint,1
104.0,125000.0,240.0,31,1,2,2,>60%,34.847,485000.0,1,1,1,1,2,2,65-74,Black or African American,Not Hispanic or Latino,Female,0
149.0,375000.0,360.0,1,1,1,2,20%-<30%,85.0,445000.0,1,1,1,2,2,2,25-34,White,Not Hispanic or Latino,Joint,1
61.0,245000.0,360.0,1,1,1,2,45,97.0,255000.0,1,1,1,2,2,2,25-34,White,Not Hispanic or Latino,Female,1
105.0,205000.0,360.0,4,1,2,2,43,75.588,925000.0,1,1,1,1,1,2,35-44,White,Joint,Female,1
